customer_key,customer_id,first_name,last_name,gender,date_of_birth,nationality,email,phone,eff_start_date,eff_end_date,is_current,created_at,updated_at
1,CUS0000001,Mark,Johnson,M,1969-02-11,Indonesian,mark.johnson@outlook.com,332-181-9600,2021-08-06,,1,2021-08-06 06:37:57,2021-08-06 06:37:57
2,CUS0000002,David,Guzman,M,1988-08-04,Singaporean,david.guzman@hotmail.com,386-379-4026,2022-02-14,2022-11-16,0,2022-02-14 12:42:44,2022-11-16 11:08:08
3,CUS0000002,David,Guzman,M,1988-08-04,Singaporean,david74@gmail.com,511-615-5940,2022-11-17,,1,2022-11-17 15:39:41,2022-11-17 15:39:41
4,CUS0000003,Nicholas,Herrera,M,1976-02-28,British,nicholas.herrera@yahoo.com,184-959-3103,2023-01-16,,1,2023-01-16 18:38:30,2023-01-16 18:38:30
5,CUS0000004,William,Wyatt,M,1957-04-10,Malaysian,william.wyatt@hotmail.com,647-525-5341,2022-09-11,,1,2022-09-11 11:18:09,2022-09-11 11:18:09
6,CUS0000005,Carolyn,Daniel,F,1961-07-09,Singaporean,carolyn.daniel@gmail.com,764-835-0305,2022-04-02,,1,2022-04-02 17:39:27,2024-03-06 03:02:24
7,CUS0000006,Christine,Hahn,F,1999-04-03,Indonesian,christine.hahn@hotmail.com,537-672-4238,2022-07-18,,1,2022-07-18 11:28:30,2024-08-31 03:05:39
8,CUS0000007,Kevin,Hurst,M,1977-07-31,Japanese,kevin.hurst@outlook.com,532-871-0122,2023-01-31,,1,2023-01-31 10:51:22,2023-05-04 20:13:40
9,CUS0000008,Kyle,Cruz,M,1990-12-13,Japanese,kyle.cruz@gmail.com,784-801-8451,2022-01-08,,1,2022-01-08 03:34:37,2024-02-25 00:46:29
10,CUS0000009,Jody,Mckay,F,1999-05-17,Emirati,jody.mckay@outlook.com,482-814-8932,2022-03-12,,1,2022-03-12 07:24:32,2025-12-13 07:45:14
11,CUS0000010,Kimberly,Osborne,F,1986-06-29,Singaporean,kimberly.osborne@yahoo.com,095-701-5430,2021-11-29,,1,2021-11-29 17:35:45,2021-11-29 17:35:45
12,CUS0000011,Theresa,Miller,F,1983-06-22,British,theresa.miller@outlook.com,182-278-2489,2022-04-19,,1,2022-04-19 06:32:48,2025-06-02 06:38:53
13,CUS0000012,Pedro,Vaughn,M,1998-12-01,Thai,pedro.vaughn@gmail.com,465-787-1331,2022-02-12,,1,2022-02-12 19:25:32,2022-02-12 19:25:32
14,CUS0000013,Leah,Hall,F,1965-05-21,British,leah.hall@outlook.com,010-310-5183,2021-12-28,2023-05-14,0,2021-12-28 12:47:15,2023-05-14 01:01:39
15,CUS0000013,Leah,Hall,F,1965-05-21,British,leah73@hotmail.com,829-973-7631,2023-05-15,,1,2023-05-15 21:14:05,2023-05-15 21:14:05
16,CUS0000014,Anne,Jordan,F,1979-03-24,Malaysian,anne.jordan@outlook.com,670-106-5133,2021-10-20,,1,2021-10-20 10:54:42,2024-10-27 08:24:30
17,CUS0000015,Brenda,White,F,1981-11-18,British,brenda.white@hotmail.com,317-810-8013,2021-10-02,,1,2021-10-02 11:25:49,2022-07-12 16:12:59
18,CUS0000016,Karen,Hancock,F,1954-05-23,Singaporean,karen.hancock@gmail.com,260-647-4687,2021-09-23,,1,2021-09-23 22:29:26,2021-09-23 22:29:26
19,CUS0000017,Edward,Novak,M,1989-10-24,British,edward.novak@gmail.com,805-009-7882,2021-07-09,,1,2021-07-09 03:29:53,2024-02-22 04:20:57
20,CUS0000018,Sarah,Jones,F,1955-01-10,Indonesian,sarah.jones@gmail.com,361-939-9091,2022-04-16,,1,2022-04-16 02:22:01,2023-10-14 06:04:54
21,CUS0000019,Krystal,Stewart,F,1968-02-23,Singaporean,krystal.stewart@outlook.com,353-462-4751,2021-06-02,,1,2021-06-02 17:57:39,2025-06-19 23:55:34
22,CUS0000020,Yvette,Ferrell,F,1955-05-21,Malaysian,yvette.ferrell@gmail.com,838-425-1354,2021-09-25,,1,2021-09-25 03:16:32,2021-09-25 03:16:32
23,CUS0000021,Roy,Warner,M,1992-01-10,Malaysian,roy.warner@outlook.com,808-412-4118,2021-09-23,,1,2021-09-23 06:02:20,2026-02-03 02:09:49
24,CUS0000022,Larry,Robbins,M,1964-04-03,Thai,larry.robbins@hotmail.com,487-401-6400,2022-02-09,2023-08-14,0,2022-02-09 06:32:06,2023-08-14 12:57:52
25,CUS0000022,Larry,Robbins,M,1964-04-03,Thai,larry49@yahoo.com,278-680-1128,2023-08-15,,1,2023-08-15 12:55:54,2025-12-13 22:24:14
26,CUS0000023,Andrew,Wood,M,1988-01-01,Australian,andrew.wood@gmail.com,262-045-0533,2022-10-26,,1,2022-10-26 22:46:57,2023-03-16 17:31:17
27,CUS0000024,Richard,Henson,M,1978-01-20,Malaysian,richard.henson@hotmail.com,923-226-0256,2023-02-08,,1,2023-02-08 15:10:05,2023-02-08 15:10:05
28,CUS0000025,Sharon,Cochran,F,1968-07-22,Australian,sharon.cochran@yahoo.com,216-073-3754,2023-02-22,,1,2023-02-22 10:04:03,2025-03-27 21:59:57
29,CUS0000026,Courtney,Keller,F,1977-07-07,Emirati,courtney.keller@gmail.com,541-458-6850,2021-08-23,,1,2021-08-23 12:56:06,2021-08-23 12:56:06
30,CUS0000027,Christopher,Estes,M,1968-06-19,Australian,christopher.estes@yahoo.com,019-655-6981,2022-03-21,2022-11-16,0,2022-03-21 04:09:58,2022-11-16 10:24:22
31,CUS0000027,Christopher,Estes,M,1968-06-19,Australian,christopher14@outlook.com,060-883-5615,2022-11-17,,1,2022-11-17 03:53:42,2022-11-17 03:53:42
32,CUS0000028,Marcus,Alvarado,M,1958-11-18,Australian,marcus.alvarado@outlook.com,484-656-4823,2022-04-17,,1,2022-04-17 21:51:12,2022-04-17 21:51:12
33,CUS0000029,Todd,Byrd,M,1962-03-30,Emirati,todd.byrd@yahoo.com,994-680-4436,2023-01-26,,1,2023-01-26 14:23:47,2024-02-19 15:43:14
34,CUS0000030,Matthew,Marshall,M,1980-06-27,Singaporean,matthew.marshall@hotmail.com,387-214-8951,2023-02-20,,1,2023-02-20 15:21:06,2023-06-10 16:34:31
35,CUS0000031,Michael,Walker,M,1963-12-14,Indonesian,michael.walker@hotmail.com,200-379-1769,2021-10-24,,1,2021-10-24 14:01:36,2022-06-04 23:29:23
36,CUS0000032,James,Ross,M,1960-06-10,Australian,james.ross@yahoo.com,016-328-7083,2023-05-08,,1,2023-05-08 09:13:31,2023-05-08 09:13:31
37,CUS0000033,Jesus,Solis,M,1995-10-30,Japanese,jesus.solis@hotmail.com,889-579-8687,2023-04-22,,1,2023-04-22 21:23:16,2025-10-15 15:44:59
38,CUS0000034,Scott,Cole,M,2001-07-23,Indonesian,scott.cole@gmail.com,348-734-7143,2021-12-23,,1,2021-12-23 12:51:40,2023-04-21 10:10:58
39,CUS0000035,Steven,Miller,M,1960-08-30,British,steven.miller@hotmail.com,362-316-6587,2022-04-13,,1,2022-04-13 14:56:46,2022-08-11 21:31:10
40,CUS0000036,Ross,Price,M,2002-10-14,British,ross.price@gmail.com,909-670-5466,2022-07-18,,1,2022-07-18 14:27:59,2022-07-18 14:27:59
41,CUS0000037,Morgan,Marsh,F,1965-05-29,Japanese,morgan.marsh@hotmail.com,734-670-6562,2023-03-09,,1,2023-03-09 01:05:02,2026-04-20 04:56:33
42,CUS0000038,Veronica,Ferguson,F,1977-03-19,Malaysian,veronica.ferguson@yahoo.com,990-162-7204,2022-03-16,,1,2022-03-16 09:28:20,2025-06-14 20:16:46
43,CUS0000039,Jesse,Rogers,M,1976-03-14,Thai,jesse.rogers@gmail.com,464-170-8053,2022-10-12,2024-08-10,0,2022-10-12 12:27:08,2024-08-10 15:39:59
44,CUS0000039,Jesse,Rogers,M,1976-03-14,Thai,jesse30@gmail.com,033-092-3271,2024-08-11,,1,2024-08-11 10:47:45,2026-02-05 14:54:48
