passenger_key,passenger_id,first_name,last_name,gender,date_of_birth,age_group,nationality,loyalty_tier,loyalty_miles_balance,email,phone_country
1,PAX0000001,Brian,Figueroa,M,1993-11-27,26-35,Indonesian,None,2346,jeffreydoyle@example.net,+60
2,PAX0000002,Stephanie,Miller,F,2000-10-17,18-25,Indonesian,None,15050,fjohnson@example.org,+60
3,PAX0000003,Jonathan,Johnson,M,1966-03-23,51-65,Malaysian,None,6583,jennifermiles@example.com,+61
4,PAX0000004,Jerry,Ramirez,M,1965-05-24,51-65,Indonesian,None,4564,blakeerik@example.com,+60
5,PAX0000005,Diana,Lewis,F,1973-07-18,51-65,American,None,848,curtis61@example.com,+65
6,PAX0000006,Gregory,Baker,M,2008-01-24,18-25,Indonesian,None,847,blairamanda@example.com,+62
7,PAX0000007,Juan,Calderon,M,1955-10-03,65+,Indonesian,None,299,barbara10@example.net,+61
8,PAX0000008,Raymond,Galloway,M,1965-11-25,51-65,Indonesian,Silver,10056,michellejames@example.com,+61
9,PAX0000009,Sandra,Martin,F,1993-08-26,26-35,Other,Gold,4595,jason41@example.net,+62
10,PAX0000010,Christopher,Daniel,M,1993-08-08,26-35,Malaysian,Silver,6156,stevennelson@example.net,+60
11,PAX0000011,Kristin,Cohen,F,1997-03-22,26-35,Indonesian,None,103,perezantonio@example.com,+61
12,PAX0000012,Derek,Clark,M,1977-09-10,36-50,Other,Gold,17517,jason76@example.net,+60
13,PAX0000013,Charles,Taylor,M,1981-08-13,36-50,Indonesian,None,8932,julie69@example.com,+60
14,PAX0000014,Daniel,Bright,M,1975-01-10,36-50,Indonesian,Gold,1193,ddavis@example.org,+62
15,PAX0000015,Lori,Conner,F,1960-10-16,51-65,Indonesian,None,1003,ycarlson@example.com,+60
16,PAX0000016,Whitney,Rice,F,1990-12-10,26-35,Indonesian,None,1013,frazierdanny@example.net,+62
17,PAX0000017,Derek,Davidson,M,2001-06-28,18-25,Australian,Gold,1813,cartereric@example.org,+65
18,PAX0000018,Shawn,Baker,M,1999-07-13,18-25,Malaysian,Platinum,3719,williamrodriguez@example.net,+65
19,PAX0000019,Sarah,Romero,F,1970-09-13,51-65,Indonesian,Silver,2827,ericfarmer@example.net,+65
20,PAX0000020,Thomas,Sellers,M,2003-05-18,18-25,Malaysian,None,1721,tracy15@example.com,+60
21,PAX0000021,Amy,Humphrey,F,1966-09-08,51-65,American,None,4731,millertodd@example.org,+65
22,PAX0000022,Joseph,Martinez,M,2002-02-24,18-25,Indonesian,None,751,karroyo@example.com,+65
23,PAX0000023,Shane,Henderson,M,1986-04-20,36-50,Indonesian,Silver,1727,sarahcampos@example.net,+62
24,PAX0000024,Micheal,Ross,M,1964-01-30,51-65,Indonesian,None,2281,samuel87@example.org,+60
25,PAX0000025,Danny,Morgan,M,1967-04-06,51-65,Indonesian,None,3044,briannasmith@example.net,+61
26,PAX0000026,Anthony,Jones,M,1993-05-04,26-35,Indonesian,Silver,7689,heathchad@example.org,+61
27,PAX0000027,Michael,Lewis,M,1969-05-05,51-65,Japanese,Gold,1113,jenniferkhan@example.net,+65
28,PAX0000028,David,Kennedy,M,1982-07-23,36-50,Indonesian,None,3610,glee@example.net,+61
29,PAX0000029,Heather,Jenkins,F,1979-09-22,36-50,Indonesian,Silver,4487,nuneztracey@example.org,+62
30,PAX0000030,James,Morgan,M,1954-07-08,65+,Indonesian,None,237,wrightjames@example.com,+62
31,PAX0000031,Javier,Ramirez,M,1959-12-07,51-65,Indonesian,Silver,4676,nancyjones@example.net,+65
32,PAX0000032,Amber,Kidd,F,1957-01-20,65+,Indonesian,None,934,novaksara@example.org,+62
33,PAX0000033,Jennifer,Olson,F,1961-09-16,51-65,Japanese,Gold,336,kbarrera@example.com,+62
34,PAX0000034,William,Baker,M,1950-07-16,65+,Malaysian,Silver,14868,smitchell@example.net,+62
35,PAX0000035,Justin,Higgins,M,2003-09-13,18-25,American,Gold,16853,jamesrobinson@example.org,+65
36,PAX0000036,Nancy,Brown,F,1989-10-21,26-35,Indonesian,None,8261,brian97@example.net,+61
37,PAX0000037,Christopher,Yu,M,1986-07-15,36-50,Indonesian,None,1816,yorkcasey@example.org,+61
38,PAX0000038,Shannon,Powell,F,1996-05-04,26-35,American,Gold,513,bethwilliams@example.org,+60
39,PAX0000039,Mary,Cunningham,F,1978-12-02,36-50,Malaysian,Silver,5763,sarah35@example.org,+61
40,PAX0000040,James,Powers,M,1968-06-19,51-65,Indonesian,None,2900,stephen10@example.com,+62
41,PAX0000041,Zachary,Ferrell,M,1992-08-29,26-35,Australian,None,650,medinawilliam@example.org,+61
42,PAX0000042,Stanley,Suarez,M,1974-02-21,36-50,Indonesian,Silver,3417,justin78@example.net,+65
43,PAX0000043,Logan,Archer,M,1970-12-24,51-65,Singaporean,Silver,174,contrerasangela@example.net,+65
44,PAX0000044,Teresa,Taylor,F,1957-06-10,65+,Indonesian,Gold,12002,prestonjulia@example.org,+65
