customer_key,customer_id,first_name,last_name,gender,date_of_birth,nationality,email,phone
1,CUS0000001,Mark,Johnson,M,1969-02-09,Indonesian,jeffreydoyle@example.net,001-581-896-0013x3890
2,CUS0000002,Connie,Lawrence,F,2005-06-23,Singaporean,blakeerik@example.com,942-335-1161x55940
3,CUS0000003,William,Gray,M,1987-12-18,Singaporean,maria95@example.net,610.934.1316
4,CUS0000004,Mark,Diaz,M,1975-08-02,Japanese,jason41@example.net,+1-228-732-7648x3503
5,CUS0000005,James,Jones,M,1988-12-28,Japanese,jason76@example.net,724.523.8849x696
6,CUS0000006,Yolanda,Taylor,F,1983-12-24,Indonesian,camposmichelle@example.org,+1-326-691-6697x8480
7,CUS0000007,Randy,Peterson,M,1970-05-14,Indonesian,amoore@example.net,001-248-728-1489x3252
8,CUS0000008,John,Rodriguez,M,1975-02-04,Singaporean,john39@example.org,671-882-2782
9,CUS0000009,Vincent,Hickman,M,2001-10-16,Japanese,jenniferross@example.net,+1-557-587-1331x5098
10,CUS0000010,Adam,Zimmerman,M,1954-05-27,Japanese,carlosjohnson@example.com,983-547-3829
11,CUS0000011,Rachel,Aguirre,F,1963-05-09,Singaporean,davisryan@example.com,(870)410-6513x33872
12,CUS0000012,Diana,Wright,F,1955-07-11,Japanese,jmorton@example.org,5808132677
13,CUS0000013,Stephanie,Martin,F,1950-07-17,Indonesian,ybaker@example.com,268-272-3430x9805
14,CUS0000014,Kevin,Shaw,M,1986-07-16,Australian,brianromero@example.org,291-336-1939
15,CUS0000015,Jennifer,Silva,F,1985-12-20,Malaysian,sarah35@example.org,362-547-5107x991
16,CUS0000016,Jonathan,Anderson,M,1974-02-22,Singaporean,suarezmike@example.org,384.498.0841x241
17,CUS0000017,Denise,Jacobs,F,1999-03-25,Indonesian,james48@example.com,801-264-0052x427
18,CUS0000018,Brian,Landry,M,1997-06-02,Australian,amydavenport@example.net,+1-526-520-4505
19,CUS0000019,Michael,Gomez,M,1988-06-29,Malaysian,vdickson@example.org,622.460.2563
20,CUS0000020,Rachel,Rodriguez,F,1953-01-11,Japanese,dwalker@example.com,733-203-6541x4586
21,CUS0000021,Ashley,Waller,F,1962-07-19,Indonesian,benjamin96@example.com,001-556-798-1693x4060
22,CUS0000022,Jessica,Rush,F,1972-11-12,Japanese,elizabeth14@example.net,665-864-8236x6299
23,CUS0000023,Joshua,Smith,M,1969-12-02,Australian,russellcarpenter@example.net,577-673-8721x48951
24,CUS0000024,Danny,Gonzalez,M,1952-01-22,Japanese,sanchezthomas@example.org,569.436.7632x016
25,CUS0000025,Regina,Dominguez,F,1982-01-03,Japanese,grantsamantha@example.org,927.488.9579x868
26,CUS0000026,Natasha,Wells,F,1968-01-13,Japanese,maryramirez@example.net,434.571.4345x5812
27,CUS0000027,James,Hernandez,M,1964-12-14,Indonesian,perrymark@example.com,(803)566-9096x70546
28,CUS0000028,John,Nelson,M,1983-06-11,Singaporean,priceelizabeth@example.com,001-427-929-8069x9016
29,CUS0000029,Catherine,Green,F,1972-09-02,Indonesian,shawnrogers@example.com,264-517-0805x310
30,CUS0000030,Curtis,Smith,M,1960-10-06,Indonesian,davidcaldwell@example.net,674.352.9912
31,CUS0000031,Lauren,Hickman,F,1989-07-30,Malaysian,tsanders@example.org,793-814-9190
32,CUS0000032,Mary,Jones,F,1994-06-17,Malaysian,alexander67@example.org,(657)726-2849x87769
33,CUS0000033,Samuel,Rivas,M,1956-04-17,Malaysian,nicole37@example.net,+1-665-607-5273x545
34,CUS0000034,Kristi,Black,F,1963-05-25,Singaporean,allenrichard@example.net,001-937-777-0143x63495
35,CUS0000035,Jessica,Reese,F,1972-11-26,Indonesian,jacqueline44@example.com,913.651.8233
36,CUS0000036,Nathaniel,Bray,M,1986-02-04,Japanese,tina34@example.org,(924)308-2400x842
37,CUS0000037,Shane,Andrews,M,1982-05-03,Singaporean,lalexander@example.org,671-316-7190x229
38,CUS0000038,Wendy,Wilson,F,2002-06-01,Australian,yobrien@example.net,286.377.4964
39,CUS0000039,Theresa,Clark,F,1964-10-03,Japanese,donna23@example.org,+1-212-506-7974
40,CUS0000040,Dwayne,Campbell,M,1981-04-17,Malaysian,mcdanielsandra@example.net,001-336-218-3242
41,CUS0000041,Christopher,Parker,M,2001-05-12,Singaporean,scott74@example.net,(248)387-7190x6594
42,CUS0000042,Darryl,Craig,M,1989-07-15,Malaysian,keyemily@example.com,001-802-978-7429
43,CUS0000043,Tracy,Harrison,F,1978-03-08,Malaysian,manuel12@example.com,(274)968-0715x45168
44,CUS0000044,Jason,Lopez,M,1975-01-06,Singaporean,wgarrett@example.org,548.424.7710
45,CUS0000045,Emily,Smith,F,1978-02-27,Singaporean,walkermaureen@example.org,412.874.8467x737
46,CUS0000046,Cheryl,Greene,F,2001-03-07,Australian,michellehill@example.com,784-804-4997x27875
47,CUS0000047,Jordan,Morris,F,1963-03-26,Singaporean,ashleyhall@example.com,7573662702
48,CUS0000048,Shelly,Alexander,F,1986-03-09,Singaporean,jsmith@example.com,+1-921-274-5961x5865
49,CUS0000049,Luis,Young,M,1996-12-19,Japanese,wendy16@example.org,001-517-824-0050x45562
50,CUS0000050,Kylie,Sparks,F,1961-12-17,Japanese,christianpitts@example.net,+1-437-392-3747x40748
51,CUS0000051,Jessica,Reed,F,1990-05-19,Japanese,danielle64@example.com,836-671-3695x9440
52,CUS0000052,Aimee,Grimes,F,2003-05-12,Malaysian,lozanojulie@example.com,001-739-453-3942x10470
53,CUS0000053,Brandon,Phillips,M,2001-04-05,Singaporean,ithompson@example.net,(488)542-4745x171
54,CUS0000054,Shannon,Ramsey,F,1977-06-09,Indonesian,christopher60@example.com,+1-517-954-9651
55,CUS0000055,Alexander,Henson,M,1988-08-06,Indonesian,rose31@example.net,446.812.0047x113
56,CUS0000056,Jesse,Santiago,M,2000-12-18,Singaporean,umatthews@example.org,(717)796-4053x77351
57,CUS0000057,Amy,Hill,F,1958-09-16,Japanese,ndavis@example.net,+1-590-505-3293x1839
58,CUS0000058,Gary,Hernandez,M,1990-12-14,Australian,ramireztracey@example.org,+1-742-210-2053
59,CUS0000059,Carrie,Williams,F,2000-11-13,Japanese,vfox@example.org,975.289.1783x9084
60,CUS0000060,Amy,Mendoza,F,1977-09-22,Japanese,fparks@example.net,711.859.2124x998
61,CUS0000061,Wendy,Schmidt,F,1981-04-09,Japanese,sgarcia@example.org,+1-883-767-3657x6615
62,CUS0000062,Maurice,Brooks,M,1960-10-12,Indonesian,fjones@example.org,(215)628-0988x51656
63,CUS0000063,Lindsay,Bell,F,1989-09-21,Malaysian,ericolson@example.org,(285)614-9368x998
64,CUS0000064,Allen,Nelson,M,2002-04-11,Malaysian,sandra50@example.org,(896)812-0183
65,CUS0000065,Jody,Moore,F,1971-08-08,Singaporean,kimberly99@example.org,9229901476
66,CUS0000066,Jennifer,Lewis,F,1985-04-05,Indonesian,reeddaniel@example.net,+1-497-684-0369x00343
67,CUS0000067,Donna,Wilson,F,1984-03-29,Japanese,ythompson@example.net,001-738-885-1606x071
68,CUS0000068,Kenneth,Mckinney,M,1978-10-26,Japanese,darius05@example.org,+1-875-616-1369x681
69,CUS0000069,Patrick,Walker,M,2003-06-01,Malaysian,charlesschultz@example.net,435.952.3124x32921
70,CUS0000070,John,Elliott,M,1989-10-29,Singaporean,kmaldonado@example.net,+1-795-352-7177x4490
71,CUS0000071,Emily,Hayes,F,1954-04-08,Singaporean,marie11@example.net,+1-986-479-8079x359
72,CUS0000072,Tyler,Hayes,M,2005-07-31,Japanese,toni18@example.net,(703)777-8892
73,CUS0000073,Tabitha,Hughes,F,2003-02-05,Australian,erika05@example.org,818-464-4925x19254
74,CUS0000074,Kurt,Hurley,M,1971-06-18,Indonesian,vschneider@example.org,+1-581-468-5054x23573
75,CUS0000075,Brittney,Phillips,F,2004-01-10,Malaysian,romeroamber@example.net,805.792.9622x29270
76,CUS0000076,Michael,Young,M,1980-08-15,Indonesian,karen73@example.net,847.835.9774
77,CUS0000077,Vincent,Montoya,M,2004-12-02,Japanese,moniquewilliams@example.com,(881)381-4124x782
78,CUS0000078,Travis,Walker,M,1981-02-03,Indonesian,sarah60@example.com,653.961.5305x15220
79,CUS0000079,Melissa,Taylor,F,1998-05-29,Indonesian,awest@example.org,6435289861
80,CUS0000080,Eric,Williams,M,1978-12-18,Singaporean,fbrown@example.net,+1-708-593-2460
81,CUS0000081,Laura,Lopez,F,1995-11-13,Japanese,millsmichael@example.net,+1-788-680-6706
82,CUS0000082,Paul,Kelly,M,1954-12-29,Malaysian,john19@example.net,001-252-605-8527x72217
83,CUS0000083,Christina,Moody,F,1953-03-31,Singaporean,sarah86@example.net,940.834.5054x1566
84,CUS0000084,Gerald,Lopez,M,1997-06-28,Malaysian,zrichardson@example.net,716-616-9284x511
85,CUS0000085,Elizabeth,Morrison,F,1979-05-24,Malaysian,hannahbell@example.org,001-959-264-0165x8202
86,CUS0000086,Beth,Young,F,1994-04-19,Japanese,michael90@example.net,(775)857-1928
87,CUS0000087,Emily,Ramirez,F,1958-02-11,Indonesian,fitzgeraldvictor@example.com,+1-514-347-3947
88,CUS0000088,Chad,Jones,M,1962-02-22,Singaporean,zosborn@example.net,451-588-4422x58313
89,CUS0000089,Richard,Johnson,M,1988-02-05,Malaysian,tanner82@example.net,314-467-8669
90,CUS0000090,William,Day,M,1981-01-06,Japanese,wfrazier@example.org,001-789-522-6801x82422
91,CUS0000091,Gregory,Everett,M,1969-09-22,Japanese,kingcynthia@example.net,724-298-1829x922
92,CUS0000092,Roger,Johnson,M,1953-06-27,Indonesian,debra96@example.net,+1-407-984-4736x4710
93,CUS0000093,Jason,Marshall,M,1973-07-18,Indonesian,larryhiggins@example.net,(962)558-8153x714
94,CUS0000094,Charles,Williams,M,1976-07-15,Indonesian,kwright@example.com,001-953-227-8774
