driver_id,driver_name,gender,license_no,license_type,languages,rating,total_trips,is_active,joined_date,created_at,updated_at
DRV00001,Marisa Schwartz,F,SIM-9920707413,B2,Indonesian,4.7,2402,1,2022-01-21,2022-01-22 18:07:44,2026-04-12 06:29:00
DRV00002,Dustin Owens,M,SIM-1834170471,A,Indonesian; English; Mandarin,4.9,1552,1,2025-07-25,2025-07-25 06:38:49,2025-07-25 06:38:49
DRV00003,Thomas Arias,M,SIM-1912845298,A,Indonesian; English; Japanese,3.7,1881,1,2025-09-16,2025-09-16 03:56:40,2026-03-09 12:17:14
DRV00004,Jonathan Walter,M,SIM-6020776426,B1,Indonesian,4.7,971,1,2023-10-11,2023-10-11 14:46:56,2025-02-07 12:53:10
DRV00005,Gary Nguyen,M,SIM-5613044516,B1,Indonesian; English; Japanese,3.3,2810,1,2024-04-28,2024-04-29 04:03:22,2025-08-13 03:53:55
DRV00006,Timothy Campos,M,SIM-0410423468,A,Indonesian; English; Mandarin,3.7,2848,1,2024-09-19,2024-09-20 01:33:59,2024-09-20 01:33:59
DRV00007,Tyler Henson,M,SIM-6883106792,B1,Indonesian,4.4,2777,1,2024-01-31,2024-01-31 17:22:00,2025-06-11 14:00:29
DRV00008,Krista Jackson,F,SIM-6544446347,A,Indonesian; English,3.8,361,0,2023-11-01,2023-11-04 00:49:05,2025-12-28 07:51:28
DRV00009,Mason Jones,M,SIM-8783757628,B1,Indonesian; English; Mandarin,3.9,873,1,2026-02-20,2026-02-22 00:04:15,2026-04-27 01:32:36
DRV00010,Justin Flores,M,SIM-5493066683,B1,Indonesian; English,4.3,2597,1,2023-01-13,2023-01-14 18:45:07,2024-07-03 17:18:41
DRV00011,Antonio Ramirez,M,SIM-5288314366,B1,Indonesian; English; Japanese,3.2,24,0,2024-08-08,2024-08-10 20:20:54,2024-08-10 20:20:54
DRV00012,Shelley Johnson,F,SIM-0679701687,B1,Indonesian; English; Mandarin,3.9,505,1,2025-03-11,2025-03-14 08:36:55,2025-05-25 04:48:01
DRV00013,Christopher Boyd,M,SIM-1718002390,B1,Indonesian,4.9,811,1,2025-03-20,2025-03-22 15:18:49,2026-05-25 05:37:53
